Artist,Position,Streams,Track Name,acousticness,album_type,analysis_url,danceability,date,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,region,release_date,speechiness,spotify_id,tempo,time_signature,track_href,type,uri,valence
Lil Baby,1.0,11011445.0,Drip Too Hard (Lil Baby & Gunna),0.0852,album,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,0.897,2018-10-05--2018-10-12,145542.0,0.662,78QR3Wp35dqAhFEc2qAGjE,0.0,1.0,0.534,-6.903,0.0,83.0,us,2018-10-05,0.292,78QR3Wp35dqAhFEc2qAGjE,112.511,4.0,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,audio_features,spotify:track:78QR3Wp35dqAhFEc2qAGjE,0.389
Travis Scott,2.0,9596879.0,SICKO MODE,0.00513,album,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,2018-10-05--2018-10-12,312820.0,0.73,2xLMifQCjDGFmkHkpNLD9h,0.0,8.0,0.124,-3.714,1.0,91.0,us,2018-08-03,0.222,2xLMifQCjDGFmkHkpNLD9h,155.008,4.0,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446
Lil Baby,3.0,9209570.0,"Never Recover (Lil Baby & Gunna, Drake)",0.0677,album,https://api.spotify.com/v1/audio-analysis/6wWaVoUOzLQJHd3bWAUpdZ,0.753,2018-10-05--2018-10-12,194732.0,0.686,6wWaVoUOzLQJHd3bWAUpdZ,0.0,1.0,0.193,-5.415,0.0,72.0,us,2018-10-05,0.284,6wWaVoUOzLQJHd3bWAUpdZ,132.055,4.0,https://api.spotify.com/v1/tracks/6wWaVoUOzLQJHd3bWAUpdZ,audio_features,spotify:track:6wWaVoUOzLQJHd3bWAUpdZ,0.886
Sheck Wes,4.0,9029401.0,Mo Bamba,0.194,album,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr,0.729,2018-10-05--2018-10-12,183906.0,0.625,1xzBco0xcoJEDXktl7Jxrr,0.00986,4.0,0.248,-5.266,1.0,80.0,us,2018-10-05,0.0315,1xzBco0xcoJEDXktl7Jxrr,146.034,4.0,https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr,audio_features,spotify:track:1xzBco0xcoJEDXktl7Jxrr,0.261
Lil Wayne,5.0,8749506.0,Mona Lisa (feat. Kendrick Lamar),0.371,album,https://api.spotify.com/v1/audio-analysis/0dbTQYW3Ad1FTzIA9t90E8,0.855,2018-10-05--2018-10-12,324189.0,0.694,0dbTQYW3Ad1FTzIA9t90E8,0.0,2.0,0.109,-4.393,1.0,70.0,us,2018-09-28,0.169,0dbTQYW3Ad1FTzIA9t90E8,122.078,4.0,https://api.spotify.com/v1/tracks/0dbTQYW3Ad1FTzIA9t90E8,audio_features,spotify:track:0dbTQYW3Ad1FTzIA9t90E8,0.49
Kanye West,6.0,7983540.0,I Love It (& Lil Pump),0.0114,single,https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ,0.901,2018-10-05--2018-10-12,127946.0,0.522,4S8d14HvHb70ImctNgVzQQ,0.0,2.0,0.259,-8.304,1.0,76.0,us,2018-09-07,0.33,4S8d14HvHb70ImctNgVzQQ,104.053,4.0,https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ,audio_features,spotify:track:4S8d14HvHb70ImctNgVzQQ,0.329
Juice WRLD,7.0,7972482.0,Lucid Dreams,0.349,album,https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf,0.511,2018-10-05--2018-10-12,239835.0,0.566,0s3nnoMeVWz3989MkNQiRf,0.0,6.0,0.34,-7.23,0.0,8.0,us,2018-05-23,0.2,0s3nnoMeVWz3989MkNQiRf,83.903,4.0,https://api.spotify.com/v1/tracks/0s3nnoMeVWz3989MkNQiRf,audio_features,spotify:track:0s3nnoMeVWz3989MkNQiRf,0.218
Marshmello,8.0,7970081.0,Happier,0.191,single,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,2018-10-05--2018-10-12,214289.0,0.792,2dpaYNEQHiRxtZbfNsse99,0.0,5.0,0.167,-2.749,1.0,87.0,us,2018-08-17,0.0452,2dpaYNEQHiRxtZbfNsse99,100.015,4.0,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671
6ix9ine,9.0,7880641.0,STOOPID,0.13,single,https://api.spotify.com/v1/audio-analysis/1jQvUmf16VE9WQCPuK2e8K,0.733,2018-10-05--2018-10-12,152000.0,0.63,1jQvUmf16VE9WQCPuK2e8K,0.0,11.0,0.162,-4.296,1.0,0.0,us,2018-10-05,0.395,1jQvUmf16VE9WQCPuK2e8K,149.989,4.0,https://api.spotify.com/v1/tracks/1jQvUmf16VE9WQCPuK2e8K,audio_features,spotify:track:1jQvUmf16VE9WQCPuK2e8K,0.832
Lil Peep,10.0,7874176.0,Falling Down - Bonus Track,0.0175,single,https://api.spotify.com/v1/audio-analysis/0Dn40gxVCMo5TkgS8Ik18Q,0.669,2018-10-05--2018-10-12,196400.0,0.574,0Dn40gxVCMo5TkgS8Ik18Q,0.00294,4.0,0.146,-6.442,0.0,3.0,us,2018-09-19,0.0286,0Dn40gxVCMo5TkgS8Ik18Q,120.013,4.0,https://api.spotify.com/v1/tracks/0Dn40gxVCMo5TkgS8Ik18Q,audio_features,spotify:track:0Dn40gxVCMo5TkgS8Ik18Q,0.273
